GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
000110110110-010110110011-010111011110-011000100000-011001000000-011100000011-100101110111-101010000010-110100011110-111100101000-11111001,3.02,16,56.25
001101111101-001110000001-101110100010-110101100000-110110110001-111001111101-111011101100-111101011110-111110111111-111111011100-10000100,-11.28,9,33.33
000001101000-000010000110-001100011110-011011010001-101110110000-110001011100-111001011000-111001111110-111100011011-111110100100-10010000,-18.27,57,49.12
000101101101-000111010100-001010000110-100001111001-100010101010-100011001010-110101110011-111101001110-111101101011-111110011000-01001110,10.36,28,53.57
011101011111-100100101001-100101101101-101000110011-101001111100-101010010101-101111111000-110010011011-110010110110-111101111000-10011010,22.37,26,53.85
000000011010-000010000001-000010101011-000010111001-000100001000-001111011100-011001011100-011011011100-100001001010-111111100111-10011101,-19.59,90,36.67
010011010110-010101011001-010101110010-011001111000-100101100111-101111101011-110011101000-110101110110-110111001111-111101101111-01000001,3.95,2,100.0
000001101111-011001100111-011100111111-011111110011-100110000011-100110001100-101001111011-101010111000-111010001101-111111110111-11101011,17.88,19,78.95
000100010110-000101101100-001011011001-010111110110-011100111011-101110001011-101111001101-110110100000-110111110010-111110111001-10110011,2.64,9,66.67
000101101010-000110111101-000111101101-001110111001-010100100010-011011011011-100010100010-101010011001-111010010001-111101110001-01100111,-20.3,32,46.88
000001000111-000001011111-010001000111-010010110010-010101110001-010110001001-010110010011-011110011111-100101110010-101000110010-00100010,-4.7,15,40.0
000010001111-010010000101-010111110101-011001011100-011010111001-100001101010-100010011000-110000110101-110001100110-111000010010-11101000,22.88,37,78.38
000000110000-000010100010-001010100110-001010110000-001110111010-011101001101-100011010010-100011101010-100111110111-101111011011-11101101,-25.26,61,58.33
010011100101-010100110110-010110111001-011100111001-101001000001-101001000111-110011010100-111000011010-111110000011-111110001010-11001011,14.74,9,88.89
000101000111-000110000001-001001101010-001011100001-001100100100-010101000110-010111111101-101110101010-101110101100-110111101111-00111011,31.94,30,36.67
000100001110-000110111001-001011010001-001011111111-001101100110-011111111100-100100101110-101001011000-111001011011-111111011000-11110100,17.47,10,70.0
000010101011-000011101100-000111111000-001100100101-010011001001-010100110001-011001111000-100111000101-110000100101-110111010010-11111010,-2.81,9,55.56
000011100010-000111011001-010001001111-011001011101-101000100010-110101001011-110101011101-111000100110-111011110011-111100010100-01101110,-3.42,19,42.11
000101001110-010001111111-010100000011-011001100011-100101010110-101101011000-110001001011-111001001011-111001111111-111010110000-00000001,-3.11,3,66.67
000010001010-011010100010-100101000001-100110100101-101000011010-101101111000-110011101011-111011100111-111110001000-111110100010-10011100,0.4,26,42.31
000111000001-000111111011-001011001000-001100011001-001101110101-010010000101-010010101011-100001110101-110111100001-111100000100-00001010,8.23,21,38.1
000000110000-000100111000-001001001000-001101001011-010010000110-010100000001-101001001101-101100100000-111110101000-111111011010-01100110,23.27,70,70.0
000010101011-001001110100-001110001000-010000111000-011000001111-011100100111-100011111101-110000001000-110100001110-110110000110-11010000,20.21,19,63.16
001110001001-010000000010-010000011100-010111001110-101000011101-101010000110-101110000101-110001011000-111001010110-111110111001-01000010,18.37,15,73.33
000111011001-010000000111-011100001101-101011100100-101101000111-101110011010-110000010111-110011000111-110100000001-111000001111-10000101,1.03,40,72.5
000001110101-010010001110-011001010000-011110000000-011110011000-100111101011-101111111000-110110000000-110111000000-111101111010-11010010,8.11,19,68.42
000100011011-000100111000-001110010101-010011110010-010101111001-011010000101-101000010110-101111000010-110010000111-111001000110-11000100,-39.3,9,0.0
000010011101-000101101100-001011000010-011001110000-011011100110-011111001110-100100101010-100111010110-110111100011-111010101111-10101010,-2.58,15,50.0
000011011110-000100111011-010111111100-011111100100-100100100010-100110110100-110000110100-110010000110-111010110101-111111100100-01001100,3.43,11,54.55
000000101111-000001010100-001011111110-001100111011-010000011100-010001000111-011001110111-100000011101-100110101110-101111101101-00000000,-2.08,10,50.0
000010011111-000100001000-001110001000-010010100010-010110010110-011011001100-101000110111-101000111101-110010011111-111110010011-00011011,3.42,64,15.62
000001101101-000100010010-011101001001-101001011110-101100110101-101110100010-110100001111-110101010101-110110000010-110110011100-01001001,8.14,16,68.75
010001011100-010110001000-010111000110-011100001000-011110111111-101110101110-110001010011-110110111110-111010101111-111011000101-11100110,-28.91,12,58.33
001110000110-001110000111-011110010010-100000011100-100111000110-110100011110-111001001110-111101010110-111110110001-111111110000-00100011,-4.23,11,54.55
000001010011-001000100000-001001110000-001101010011-010000001000-010001101111-010011111010-100001101010-110000011010-110101001110-11001001,5.31,21,66.67
000000011001-000001111000-001010100101-001100010000-010000111111-010001110011-010010010111-011110000000-101111100010-111000010110-11101111,-10.26,33,60.61
000000011001-000011001001-011011111011-011111000011-100100110001-100100111110-110011101100-111011100011-111110101011-111111001010-11000001,1.3,33,81.82
001001000110-010001010011-010010011000-010111010000-100001010100-100101101000-101000011000-110001111010-110010011011-111100110110-00100010,7.37,14,78.57
000011100111-001000101101-010011111011-011110000001-101001110011-110000011010-110001001001-110001100100-111101001100-111111010111-01110001,-0.13,9,44.44
000011101110-010001000001-011011111011-100001010011-100010011001-110000001010-110001011001-110111011010-111010011011-111110001011-11101110,-2.5,28,67.86
000101111000-001001010110-011100011010-011100111110-011101000000-100110111100-110011010101-110111001000-111001111100-111011101111-00111100,26.07,50,32.0
000011010010-000110110101-010000011100-010100101100-010101010011-100011100101-100100010111-101000111011-101101011111-110100000111-00010011,1.77,21,28.57
000000110011-000001001111-000001010101-000011001011-001110010101-010110110011-011101001000-011111011111-100001011110-100011111010-00101110,-1.67,15,40.0
000101010100-001010110011-001011101000-010100010001-011010101000-011110101000-100011010001-100100100001-101001000011-101110000100-01010111,-15.21,21,23.81
001000000100-001100111011-001111000011-010110010010-011010001100-100010000011-110011000001-110110011101-111010010011-111011000100-11001011,15.76,13,84.62
000100101010-010001000110-010111110101-011100110100-100011001011-100110011110-101111101101-111001110100-111101001011-111111011101-11110000,-22.21,12,50.0
000000101001-001101011010-001110000011-100001001111-100001011111-100010101101-100111101111-110011000101-110101010011-111001101111-01011001,13.56,29,41.38
001001001011-001010110111-010001101111-010101000111-100101010000-101101111100-101110100011-110001010110-111000010111-111111000011-01010001,-8.37,14,21.43
